@relation R_data_frame

@attribute COLORC {DOJI,DOWN,UP}
@attribute MTREND_130 {DOWN,UP}
@attribute MTREND_20 {DOWN,UP}
@attribute D numeric
@attribute TH numeric
@attribute TM numeric
@attribute TYPEWIN_5M string
@attribute WINCALL_5M numeric
@attribute TYPEWIN_15M string
@attribute WINCALL_15M numeric

@data
DOWN,UP,UP,2,23,30,WINCALL,1,WINPUT,0
UP,UP,DOWN,2,23,31,WINPUT,0,WINPUT,0
UP,UP,UP,2,23,32,WINPUT,0,WINPUT,0
DOWN,UP,UP,2,23,33,WINPUT,0,WINPUT,0
DOWN,UP,UP,2,23,34,WINPUT,0,WINPUT,0
UP,UP,DOWN,2,23,35,WINPUT,0,WINPUT,0
DOWN,UP,UP,2,23,36,WINPUT,0,WINPUT,0
DOWN,UP,UP,2,23,37,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,2,23,38,WINCALL,1,WINPUT,0
DOWN,UP,DOWN,2,23,39,WINCALL,1,WINCALL,1
UP,UP,DOWN,2,23,40,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,2,23,41,WINPUT,0,WINCALL,1
UP,UP,DOWN,2,23,42,WINPUT,0,WINPUT,0
UP,UP,DOWN,2,23,43,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,2,23,44,WINCALL,1,WINPUT,0
DOWN,UP,DOWN,2,23,45,WINPUT,0,WINCALL,1
DOWN,UP,DOWN,2,23,46,WINPUT,0,WINCALL,1
UP,UP,DOWN,2,23,47,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,2,23,48,WINCALL,1,WINCALL,1
UP,UP,DOWN,2,23,49,WINPUT,0,WINCALL,1
DOWN,UP,UP,2,23,50,WINCALL,1,WINCALL,1
DOWN,UP,DOWN,2,23,51,WINCALL,1,WINPUT,0
DOWN,UP,DOWN,2,23,52,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,2,23,53,WINCALL,1,WINPUT,0
DOWN,UP,UP,2,23,54,WINCALL,1,WINPUT,0
UP,UP,DOWN,2,23,55,WINCALL,1,WINPUT,0
DOWN,UP,UP,2,23,56,WINCALL,1,WINPUT,0
DOWN,UP,DOWN,2,23,57,WINCALL,1,WINPUT,0
UP,UP,DOWN,2,23,58,WINCALL,1,WINPUT,0
DOWN,UP,UP,2,23,59,WINCALL,1,WINPUT,0
UP,UP,UP,3,0,0,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,1,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,3,0,2,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,3,WINPUT,0,WINPUT,0
UP,UP,UP,3,0,4,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,5,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,3,0,6,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,0,7,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,3,0,8,WINPUT,0,WINCALL,1
DOWN,UP,DOWN,3,0,9,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,0,10,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,11,WINPUT,0,WINPUT,0
DOJI,UP,DOWN,3,0,12,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,13,WINCALL,1,WINCALL,1
DOJI,DOWN,DOWN,3,0,14,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,15,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,16,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,17,WINPUT,0,WINCALL,1
UP,UP,DOWN,3,0,18,WINCALL,1,WINCALL,1
DOWN,UP,DOWN,3,0,19,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,20,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,21,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,22,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,0,23,WINCALL,1,WINCALL,1
DOJI,UP,UP,3,0,24,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,25,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,26,WINCALL,1,WINCALL,1
UP,UP,DOWN,3,0,27,WINCALL,1,WINPUT,0
UP,UP,UP,3,0,28,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,29,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,0,30,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,0,31,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,32,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,33,WINCALL,1,WINPUT,0
UP,UP,DOWN,3,0,34,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,35,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,36,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,0,37,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,0,38,WINPUT,0,WINPUT,0
DOWN,UP,DOWN,3,0,39,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,0,40,WINPUT,0,WINPUT,0
UP,UP,UP,3,0,41,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,0,42,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,43,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,44,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,0,45,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,46,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,47,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,48,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,0,49,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,50,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,51,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,0,52,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,0,53,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,54,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,55,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,0,56,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,0,57,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,0,58,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,0,59,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,0,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,1,1,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,2,WINPUT,0,WINCALL,1
UP,DOWN,UP,3,1,3,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,1,4,WINPUT,0,WINCALL,1
DOWN,DOWN,UP,3,1,5,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,1,6,WINPUT,0,WINCALL,1
DOWN,DOWN,UP,3,1,7,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,1,8,WINCALL,1,WINCALL,1
DOWN,DOWN,UP,3,1,9,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,1,10,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,11,WINCALL,1,WINPUT,0
UP,DOWN,UP,3,1,12,WINCALL,1,WINCALL,1
UP,DOWN,UP,3,1,13,WINCALL,1,WINPUT,0
UP,DOWN,UP,3,1,14,WINCALL,1,WINPUT,0
DOWN,UP,UP,3,1,15,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,1,16,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,1,17,WINPUT,0,WINPUT,0
UP,UP,UP,3,1,18,WINPUT,0,WINPUT,0
UP,UP,UP,3,1,19,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,1,20,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,1,21,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,1,22,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,1,23,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,1,24,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,25,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,26,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,27,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,1,28,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,1,29,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,1,30,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,1,31,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,1,32,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,1,33,WINCALL,1,WINPUT,0
DOJI,DOWN,DOWN,3,1,34,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,1,35,WINCALL,1,WINPUT,0
DOJI,DOWN,UP,3,1,36,WINCALL,1,WINPUT,0
DOWN,DOWN,UP,3,1,37,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,1,38,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,1,39,WINCALL,1,WINPUT,0
DOWN,DOWN,UP,3,1,40,WINPUT,0,WINPUT,0
UP,DOWN,UP,3,1,41,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,1,42,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,1,43,WINPUT,0,WINPUT,0
DOWN,UP,UP,3,1,44,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,1,45,TIE,0,WINPUT,0
UP,DOWN,DOWN,3,1,46,WINPUT,0,WINPUT,0
DOJI,DOWN,DOWN,3,1,47,WINCALL,1,WINPUT,0
DOJI,DOWN,DOWN,3,1,48,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,1,49,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,1,50,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,1,51,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,1,52,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,1,53,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,1,54,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,1,55,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,1,56,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,1,57,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,1,58,TIE,0,WINPUT,0
DOWN,DOWN,DOWN,3,1,59,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,0,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,2,1,TIE,0,WINPUT,0
UP,DOWN,DOWN,3,2,2,TIE,0,WINPUT,0
UP,DOWN,DOWN,3,2,3,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,4,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,2,5,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,2,6,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,7,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,8,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,9,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,10,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,11,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,12,TIE,0,TIE,0
DOWN,DOWN,DOWN,3,2,13,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,14,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,15,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,2,16,WINPUT,0,TIE,0
DOWN,DOWN,DOWN,3,2,17,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,18,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,19,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,2,20,WINCALL,1,WINCALL,1
DOWN,DOWN,DOWN,3,2,21,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,22,TIE,0,WINPUT,0
UP,DOWN,DOWN,3,2,23,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,24,WINCALL,1,TIE,0
UP,DOWN,DOWN,3,2,25,WINCALL,1,WINPUT,0
DOWN,DOWN,DOWN,3,2,26,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,2,27,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,28,WINPUT,0,WINCALL,1
DOWN,DOWN,DOWN,3,2,29,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,2,30,WINCALL,1,WINPUT,0
UP,DOWN,DOWN,3,2,31,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,32,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,33,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,34,WINPUT,0,WINCALL,1
UP,DOWN,DOWN,3,2,35,WINPUT,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,36,WINPUT,0,WINPUT,0
UP,DOWN,DOWN,3,2,37,WINPUT,0,WINPUT,0
DOWN,DOWN,UP,3,2,38,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,2,39,WINCALL,1,WINCALL,1
UP,DOWN,DOWN,3,2,40,TIE,0,WINPUT,0
DOWN,DOWN,DOWN,3,2,41,WINPUT,0,WINPUT,0
